gene,variable,value
EIF3I,arch_0,-0.005611414
LCK,arch_0,-0.020730898
HDAC1,arch_0,-0.03365248
MARCKSL1,arch_0,-0.046824194
TSSK3,arch_0,-0.013823
FAM229A,arch_0,-0.019813767
BSDC1,arch_0,-0.014723156
ZBTB8B,arch_0,-0.022799468
ZBTB8A,arch_0,-0.002089508
ZBTB8OS,arch_0,-0.025381811
RBBP4,arch_0,-0.022731263
SYNC,arch_0,-0.023579914
KIAA1522,arch_0,-0.018030899
YARS,arch_0,-0.041942555
S100PBP,arch_0,0.0025320922
FNDC5,arch_0,0.019701071
HPCA,arch_0,-0.017831547
TMEM54,arch_0,-0.017874677
AL031602.2,arch_0,0.023550697
RNF19B,arch_0,0.05107388
AL020995.1,arch_0,-0.013589011
AK2,arch_0,0.001119613
AZIN2,arch_0,0.20512208
TRIM62,arch_0,0.01156193
AL662907.3,arch_0,-0.016245076
ZNF362,arch_0,0.024633722
A3GALT2,arch_0,-0.02981207
AL513327.1,arch_0,-0.1309939
PHC2,arch_0,-0.08664147
AL513327.2,arch_0,-0.01574003
ZSCAN20,arch_0,-0.011178339
CSMD2,arch_0,0.013664658
CSMD2-AS1,arch_0,-0.016591733
SMIM12,arch_0,-0.0066008563
TMEM35B,arch_0,-0.018259618
ZMYM6,arch_0,-0.004495689
ZMYM1,arch_0,-0.0030031516
AL590434.1,arch_0,-0.018094094
SFPQ,arch_0,0.00069005205
ZMYM4,arch_0,-0.00072308164
ZMYM4-AS1,arch_0,-0.0148969665
KIAA0319L,arch_0,0.01431688
NCDN,arch_0,-0.019789334
AC004865.2,arch_0,-0.022624824
TFAP2E,arch_0,-0.010482979
PSMB2,arch_0,-0.012616327
C1orf216,arch_0,-0.006024384
CLSPN,arch_0,-0.018225025
AGO4,arch_0,0.029882105
AGO1,arch_0,0.0125832725
AL139286.3,arch_0,-0.018757613
AGO3,arch_0,-0.011445188
AL138787.2,arch_0,-0.015181169
ADPRHL2,arch_0,-0.0063673877
COL8A2,arch_0,0.0011118132
TRAPPC3,arch_0,-0.0041915397
MAP7D1,arch_0,0.0054136245
THRAP3,arch_0,-0.024631232
SH3D21,arch_0,0.024927787
EVA1B,arch_0,-0.0038302715
AL591845.1,arch_0,-0.013688438
STK40,arch_0,0.008747142
LSM10,arch_0,-0.024808297
OSCP1,arch_0,-0.0008760211
MRPS15,arch_0,-0.011175692
CSF3R,arch_0,-0.027734175
GRIK3,arch_0,-0.018613463
AL353604.1,arch_0,-0.0063663335
LINC01137,arch_0,0.092337
ZC3H12A,arch_0,-0.032671686
MEAF6,arch_0,0.010199612
SNIP1,arch_0,-0.011996961
DNALI1,arch_0,-0.016967066
GNL2,arch_0,-0.0122902
C1orf109,arch_0,-0.018153302
CDCA8,arch_0,-0.022033108
MANEAL,arch_0,-0.0226973
YRDC,arch_0,-0.027025038
C1orf122,arch_0,-0.028538337
MTF1,arch_0,-0.015846428
AL929472.2,arch_0,-0.016688421
INPP5B,arch_0,-0.03086387
SF3A3,arch_0,0.010628715
FHL3,arch_0,0.028303007
UTP11,arch_0,-0.011600955
MIR3659HG,arch_0,-0.017712478
RRAGC,arch_0,0.0030598852
AL139260.1,arch_0,0.00041427545
MYCBP,arch_0,0.0002882998
GJA9,arch_0,-0.026159745
RHBDL2,arch_0,-0.0023724665
AKIRIN1,arch_0,-0.010310465
NDUFS5,arch_0,-0.021182267
MACF1,arch_0,0.14909923
AL442071.2,arch_0,-0.00040535137
AL442071.1,arch_0,-0.017307477
BMP8A,arch_0,0.02832953
PABPC4,arch_0,-0.014789322
PABPC4-AS1,arch_0,-0.019904722
HEYL,arch_0,0.0722535
HPCAL4,arch_0,-0.01944724
PPIE,arch_0,-0.012215719
BMP8B,arch_0,-0.015685894
AL033527.4,arch_0,-0.02072824
LINC02811,arch_0,-0.020951396
TRIT1,arch_0,-0.02200799
MFSD2A,arch_0,-0.018792545
CAP1,arch_0,0.025711367
PPT1,arch_0,-0.0032845798
RLF,arch_0,0.0051439917
TMCO2,arch_0,-0.018714778
AL050341.2,arch_0,-0.024822213
ZMPSTE24,arch_0,0.006305553
COL9A2,arch_0,-0.010688251
SMAP2,arch_0,0.019237358
AL031985.4,arch_0,-0.019213594
ZFP69B,arch_0,-0.014800902
ZFP69,arch_0,-0.009687309
AL603839.3,arch_0,-0.0007749112
EXO5,arch_0,-0.012431356
ZNF684,arch_0,-0.006604477
AL356379.2,arch_0,-0.021183377
RIMS3,arch_0,-0.022227403
AL031289.1,arch_0,-0.02408968
NFYC-AS1,arch_0,-0.029150799
NFYC,arch_0,0.025519371
KCNQ4,arch_0,-0.021596316
CTPS1,arch_0,-0.031402208
SLFNL1-AS1,arch_0,-0.020601159
SLFNL1,arch_0,-0.023880629
SCMH1,arch_0,-0.022625262
AC093151.8,arch_0,-0.026150076
FOXO6,arch_0,0.011778417
AC093151.2,arch_0,-0.019024037
HIVEP3,arch_0,-0.09768272
FOXJ3,arch_0,0.007114556
ZMYND12,arch_0,-0.01905683
PPCS,arch_0,-0.007956856
CCDC30,arch_0,0.004844276
PPIH,arch_0,-0.012390232
AC098484.4,arch_0,-0.015975773
YBX1,arch_0,-0.004897223
P3H1,arch_0,0.0083126435
C1orf50,arch_0,-0.0032447756
TMEM269,arch_0,-0.0189521
SVBP,arch_0,-0.019233102
ERMAP,arch_0,0.013379028
AL512353.1,arch_0,-0.018163955
ZNF691,arch_0,-0.015829293
SLC2A1,arch_0,-0.034760777
SLC2A1-AS1,arch_0,-0.011644382
EBNA1BP2,arch_0,-0.01988551
CFAP57,arch_0,-0.022830274
TIE1,arch_0,-0.016404878
MPL,arch_0,-0.018644564
AL139289.2,arch_0,-0.0144879725
ELOVL1,arch_0,-0.008862914
MED8,arch_0,-0.004461895
AL139289.1,arch_0,-0.021242838
SZT2,arch_0,0.0059603327
HYI,arch_0,0.0052049495
HYI-AS1,arch_0,-0.018961849
PTPRF,arch_0,0.033847902
KDM4A,arch_0,-0.0033541757
KDM4A-AS1,arch_0,-0.0049137706
ST3GAL3,arch_0,0.009863458
AL451062.1,arch_0,-0.011466933
AL357079.1,arch_0,-0.02112853
IPO13,arch_0,-0.017987711
DPH2,arch_0,-0.023078894
ATP6V0B,arch_0,-0.024828574
B4GALT2,arch_0,0.0005121517
CCDC24,arch_0,-0.011492271
SLC6A9,arch_0,-0.01610691
AL139220.2,arch_0,-0.014144756
DMAP1,arch_0,-0.0027898676
ERI3,arch_0,-0.01669833
RNF220,arch_0,-0.011144551
TMEM53,arch_0,-0.023718959
ARMH1,arch_0,-0.02680336
KIF2C,arch_0,-0.0060094055
AL592166.1,arch_0,-0.012737006
RPS8,arch_0,-0.029116929
PLK3,arch_0,0.016883947
BTBD19,arch_0,0.022007704
PTCH2,arch_0,0.029040836
EIF2B3,arch_0,-0.017204016
HECTD3,arch_0,-0.0040578493
UROD,arch_0,-0.013129021
ZSWIM5,arch_0,0.039864127
MUTYH,arch_0,-0.0026414075
TOE1,arch_0,-0.015439119
TESK2,arch_0,0.040028136
CCDC163,arch_0,-0.021441787
MMACHC,arch_0,-0.024483196
PRDX1,arch_0,-0.03840654
AKR1A1,arch_0,0.022737691
NASP,arch_0,-0.023953257
CCDC17,arch_0,-0.016238762
GPBP1L1,arch_0,0.009553914
TMEM69,arch_0,-0.004108656
IPP,arch_0,0.008144308
MAST2,arch_0,0.059373654
PIK3R3,arch_0,-0.0060670814
POMGNT1,arch_0,0.0054679685
LURAP1,arch_0,0.013090727
RAD54L,arch_0,-0.02115803
LRRC41,arch_0,-0.008427622
UQCRH,arch_0,-0.03646734
NSUN4,arch_0,-0.020281415
FAAH,arch_0,-0.025466725
MKNK1-AS1,arch_0,-0.02085279
MKNK1,arch_0,-0.022125455
ATPAF1,arch_0,0.004071585
TEX38,arch_0,-0.022873288
EFCAB14-AS1,arch_0,-0.021243604
EFCAB14,arch_0,-0.011954813
CYP4B1,arch_0,-0.19966662
CYP4A11,arch_0,-0.07383988
CYP4X1,arch_0,-0.15706249
CYP4Z1,arch_0,-0.1840405
CYP4A22-AS1,arch_0,-0.14222524
CYP4A22,arch_0,-0.030564291
STIL,arch_0,-0.012847675
CMPK1,arch_0,-0.00843776
LINC01389,arch_0,-0.022307646
TRABD2B,arch_0,0.04107056
LINC02794,arch_0,-0.0017323085
AL109659.1,arch_0,-0.024141785
SLC5A9,arch_0,-0.10056591
AL109659.2,arch_0,-0.034554146
SPATA6,arch_0,-0.16001351
AGBL4,arch_0,-0.025043953
AC099788.1,arch_0,-0.020677246
AL590432.1,arch_0,-0.01892053
ELAVL4,arch_0,-0.018638995
FAF1,arch_0,0.00877984
AL049637.1,arch_0,-0.02161785
CDKN2C,arch_0,-0.020673366
C1orf185,arch_0,-0.020059893
LINC01562,arch_0,-0.012961552
RNF11,arch_0,0.0074267527
AL162430.2,arch_0,-0.025367633
TTC39A,arch_0,-0.024303062
EPS15,arch_0,-0.009821562
AC104170.2,arch_0,-0.025118187
AC104170.1,arch_0,-0.016081655
OSBPL9,arch_0,-0.056438513
NRDC,arch_0,-0.04297133
AL050343.2,arch_0,-0.019650035
AL050343.3,arch_0,-0.018345647
RAB3B,arch_0,-0.02040241
TXNDC12,arch_0,-0.012122452
AL445685.1,arch_0,-0.025781196
TXNDC12-AS1,arch_0,-0.020656992
BTF3L4,arch_0,-0.026091198
ZFYVE9,arch_0,-0.0036754773
CC2D1B,arch_0,-0.00810557
AL513218.2,arch_0,-0.025834922
ORC1,arch_0,-0.024475576
PRPF38A,arch_0,-0.0061164424
TUT4,arch_0,-0.01807473
GPX7,arch_0,-0.0017454881
SHISAL2A,arch_0,-0.022089234
COA7,arch_0,-0.031358026
ZYG11B,arch_0,0.0056005
ZYG11A,arch_0,-0.01830706
ECHDC2,arch_0,-0.039883427
SCP2,arch_0,0.008093216
PODN,arch_0,0.0054917084
AL445183.1,arch_0,-0.01195629
SLC1A7,arch_0,0.017914373
CPT2,arch_0,-0.005908901
AL606760.2,arch_0,-0.0075609786
CZIB,arch_0,0.0010149464
MAGOH,arch_0,-0.013597242
AL606760.1,arch_0,-0.018373996
LRP8,arch_0,-0.013775998
GLIS1,arch_0,0.16191585
NDC1,arch_0,-0.00018206656
YIPF1,arch_0,-0.013075842
DIO1,arch_0,-0.017445534
HSPB11,arch_0,-0.009253004
LRRC42,arch_0,-0.00014663766
TMEM59,arch_0,-0.022008205
TCEANC2,arch_0,0.0028394083
CYB5RL,arch_0,-0.013315915
MRPL37,arch_0,-0.012334444
SSBP3,arch_0,-0.022322947
ACOT11,arch_0,-0.016856981
TTC4,arch_0,-0.010626422
PARS2,arch_0,-0.02578648
DHCR24,arch_0,-0.031708226
AC096536.3,arch_0,-0.022239514
USP24,arch_0,-0.015385854
MIR4422HG,arch_0,-0.027832132
AL603840.1,arch_0,-0.066085555
LINC01753,arch_0,-0.024333505
AL353681.1,arch_0,-0.026424702
AC119674.1,arch_0,-0.09562945
LINC01767,arch_0,-0.0224439
PLPP3,arch_0,-0.11449793
DAB1,arch_0,0.024345892
AL445193.2,arch_0,-0.019580271
AL035411.3,arch_0,-0.015923964
MYSM1,arch_0,-0.012866158
AL136985.3,arch_0,-0.02120232
JUN,arch_0,-0.022533387
LINC01135,arch_0,-0.0018589578
AL136985.1,arch_0,-0.022308245
LINC02777,arch_0,-0.02234584
LINC01358,arch_0,-0.018386431
AL592431.1,arch_0,-0.02524498
AC093425.1,arch_0,-0.038515072
FGGY,arch_0,0.00022363286
AL035416.1,arch_0,-0.022225747
C1orf87,arch_0,-0.018556127
LINC01748,arch_0,0.10289967
AC099792.1,arch_0,0.092931986
NFIA,arch_0,-0.075999394
NFIA-AS2,arch_0,0.097685225
NFIA-AS1,arch_0,-0.026210915
AC099791.3,arch_0,-0.028761344
AC099791.4,arch_0,-0.022892777
TM2D1,arch_0,-0.046697285
AC099791.2,arch_0,-0.019276507
PATJ,arch_0,-0.06879686
L1TD1,arch_0,-0.021068823
KANK4,arch_0,-0.02714482
USP1,arch_0,-0.0022592456
DOCK7,arch_0,0.051340673
ANGPTL3,arch_0,-0.024192186
AC103923.1,arch_0,0.011489954
ATG4C,arch_0,-0.0030498793
LINC00466,arch_0,-0.021596374
ALG6,arch_0,-0.0019411566
ITGB3BP,arch_0,-0.002998859
BX004807.1,arch_0,-0.030738462
EFCAB7,arch_0,-0.0004448292
PGM1,arch_0,-0.0015053238
ROR1,arch_0,0.046383996
ROR1-AS1,arch_0,0.0010587455
CACHD1,arch_0,0.02242227
RAVER2,arch_0,0.025076855
JAK1,arch_0,-0.047568176
AK4,arch_0,8.129401e-05
DNAJC6,arch_0,-0.013756799
AL139294.1,arch_0,-0.021215193
LEPR,arch_0,0.020364076
PDE4B,arch_0,0.100408085
SGIP1,arch_0,0.23820816
AL139147.1,arch_0,0.038146928
TCTEX1D1,arch_0,-0.015550588
WDR78,arch_0,0.017912256
MIER1,arch_0,0.0053073624
SLC35D1,arch_0,0.016662514
C1orf141,arch_0,-0.020460958
IL23R,arch_0,-0.020859612
IL12RB2,arch_0,-0.04970209
SERBP1,arch_0,-0.04319307
GADD45A,arch_0,-0.0061321883
